,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,Hadoop,Big Data,ETL,Python,SQL,hadoop,Spark,ansible,Другое
468,468,big data,Краснодар,63552.27272727273,93415.5844155844,"МАГНИТ, Розничная сеть",2019-10-16T09:05:55+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Магнит – многопрофильный холдинг и крупнейшая retail-сеть в России. Штат сотрудников – 300 000 человек. Более 5 различных направлений бизнеса. 17 000 магазинов. Наше КХД Teradata – это более 250 Тбайт данных, hadoop – 150 Тбайт, более 1500 уникальных пользователей. Мы открываем собственный Аналитический центр и приглашаем в команду сильных разработчиков на направление Big Data и Hadoop. Задачи: Участие в разработке и развитии архитектуры гибридного хранилища данных. Выполнение аналитических задач и проектов в качестве главного разработчика. Участие в интеграционных проектах по развитию гибридного DWH (Hadoop, Teradata) Ожидания: YARN, хорошее понимание парадигмы map-reduce и алгоритмов работы spark Отличное владение SQL Участие в проектировании архитектуры Big Data решений Знание потоковых ETL-средств, опыт реального применения в проектах, опыт работы с ETL-инструментами (Informatica BDM, ODI, Pentaho) Опыт программирования на Python Приветствуется опыт работы с NoSQL базами данных (HBase, Cassandra) Мы предлагаем: Возможность работать с современными решениями и интересными технологиями в области Big Data; Мы готовы обсуждать финансовые ожидания кандидатов и предоставляем полностью официальный доход; Мы вкладываем ресурсы в развитие, поэтому у нас организовано корпоративное обучение, и есть реальная возможность профессионального и карьерного роста в Компании. Карту лояльности Магнит дисконт, которая дает широкие возможности получения скидок в компаниях партнеров по различным направлениям Также в индивидуальном порядке возможно предоставление релокационного пакета для иногородних, который может включать в себя: оплату перелета в Краснодар и аренды жилья, возмещение расходов на поиск оптимального жилья, регулярные перелёты в домашний регион. Мы стремимся создавать лучшие условия для работы и отдыха, поэтому наше рабочее пространство включает: Оснащенные всем необходимым рабочие места. Комфортные переговорные комнаты и несколько модернизированных конференц-залов. 2 бесплатных спортзала на территории офиса (кардио- и силовые тренажеры, залы для групповых занятий – пилатес, йога, танцы, кросс-фит, степ-аэробика, единоборства). Удобную бесплатную общую автостоянку. Большую закрытую велопарковку. Открытую площадку с зоной воркаута, футбольное поле и два многофункциональных (теннис/баскетбол/волейбол). Просторную современную столовую, где наши повара с заботой о Вас, готовят вкусные завтраки/обеды и ужины. Для тех, кто предпочитает питаться домашней едой, имеются оборудованные кофе-комнаты в каждом корпусе. На прилегающей к офису территории, на свежем воздухе находятся 2 стильные Кофе-Лавки. Здесь Вы сможете насладиться свежесваренным зерновым кофе и провести обеденный перерыв в чудесной парковой зоне Компании. Мы искренне заботимся о здоровье наших сотрудников, поэтому у нас есть корпоративные медицинские кабинеты. Любой работник ГК может бесплатно получить там специализированную доврачебную помощь или консультацию по состоянию здоровья, принять участие в профилактических мероприятиях, а при необходимости — сделать укол, назначенный лечащим врачом.",Без требований,Без обязанностей,Без условий,Hadoop|Big Data|ETL,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
248,248,big data,Новосибирск,80372.81553398058,109937.87878787877,Auriga,2019-10-02T13:10:25+0300,От 1 года до 3 лет,Полный день,Полная занятость,"АУРИГА — российско-американская компания, ведущий разработчик программного обеспечения на заказ для зарубежных и российских клиентов – открывает вакансию Специалиста по анализу данных. Описание проекта: Проект предполагает создание хранилища данных и разработку методов статистического анализа и алгоритмов машинного обучения. Разнообразные задачи на сбор и анализ информации (например, рекомендательные системы, анализ поведенческих паттернов пользователей, анализ воздушного движения) выполняются в интересах различных департаментов крупной международной компании – производителя строительного оборудования. Команда проекта включает в себя специалистов по анализу данных, архитекторов DWH и ETL процессов. Обязанности: Создание (в команде) новых сценариев использования на основе новых данных и создание новых подходов в извлечении знаний для поддержки новых бизнес-целей. Масштабирование существующей архитектуры для поддержки большего количества вариантов использования (особенно для задач в реальном времени). Внедрение решений по анализу данных, которые легко масштабируются и оптимизируются, для уменьшения зависимостей и ручной работы. Работа в тесном контакте с архитектором данных. Требования: Уверенное знание инструментов статистического анализа и языков разработки (Python). От 2 лет опыта работы с аналитическими методами (описательная статистика, машинное обучение, распознавание паттернов, кластерный анализ, анализ сегментации и т. д.). Знание фреймворков и библиотек машинного обучения. Разговорный и письменный английский язык (от Intermediate). Условия: Стабильная заработная плата, выплачиваемая день-в-день. Хорошая корпоративная программа ДМС со стоматологией, скорой помощью, вызовом врача на дом и льготным подключением родственников в лучших клиниках региона. Мы фанаты гибкого графика, баланса работы и отдыха, во многих проектах есть возможность иногда работать из дома (все это не исключает 8-часовой рабочий день!). Неравнодушные к вашим проблемам hr, к которым всегда можно обратиться. Мы очень ценим наш коллектив, микроклимат и домашнюю атмосферу. Обучение английскому в офисе, в случае необходимости возможны интенсивные курсы, упор на разговорную практику. Помогаем сотрудникам «не стоять на месте», отправляем на тренинги, подключаем к онлайн-ресурсам, проводим внутренние тренинги на регулярной основе, закупаем необходимую литературу по запросам инженеров. Из другого региона? Поможем с переездом в случае необходимости."," Уверенное знание инструментов статистического анализа и языков разработки (Python). От 2 лет опыта работы с аналитическими методами (описательная статистика, машинное обучение, распознавание паттернов, кластерный анализ, анализ сегментации и т. д.). Знание фреймворков и библиотек машинного обучения. Разговорный и письменный английский язык (от Intermediate). "," Создание (в команде) новых сценариев использования на основе новых данных и создание новых подходов в извлечении знаний для поддержки новых бизнес-целей. Масштабирование существующей архитектуры для поддержки большего количества вариантов использования (особенно для задач в реальном времени). Внедрение решений по анализу данных, которые легко масштабируются и оптимизируются, для уменьшения зависимостей и ручной работы. Работа в тесном контакте с архитектором данных. "," Стабильная заработная плата, выплачиваемая день-в-день. Хорошая корпоративная программа ДМС со стоматологией, скорой помощью, вызовом врача на дом и льготным подключением родственников в лучших клиниках региона. Мы фанаты гибкого графика, баланса работы и отдыха, во многих проектах есть возможность иногда работать из дома (все это не исключает 8-часовой рабочий день!). Неравнодушные к вашим проблемам hr, к которым всегда можно обратиться. Мы очень ценим наш коллектив, микроклимат и домашнюю атмосферу. Обучение английскому в офисе, в случае необходимости возможны интенсивные курсы, упор на разговорную практику. Помогаем сотрудникам «не стоять на месте», отправляем на тренинги, подключаем к онлайн-ресурсам, проводим внутренние тренинги на регулярной основе, закупаем необходимую литературу по запросам инженеров. Из другого региона? Поможем с переездом в случае необходимости.",Без ключевых навыков,0.6333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
110,110,big data,Новосибирск,80372.81553398058,109937.87878787877,SEMrush,2019-10-16T18:23:54+0300,От 3 до 6 лет,Полный день,Полная занятость,"SEMrush - это уникальный сервис для профессионалов в области интернет-маркетинга, многопрофильная маркетинг-платформа, состоящая из множества инструментов, помогающая маркетологам всего мира оценить положение своего продукта в Сети, отследить активность конкурентов, эффективность онлайн-рекламы и многое другое. Над всем этим сейчас работают уже больше 30 команд разработки! Главный центр разработки находится в Санкт-Петербурге, а еще есть представительства в США, Чехии и на Кипре. Да, да. Растем как на дрожжах и даже не думаем останавливаться. Возможно, когда ты к нам придешь - команд станет еще больше. Команда Data Lab занимается исследованиями данных, разработкой алгоритмов их обработки и другими интересными задачами по направлению Market Research. В рамках этого направления мы помогаем нашим клиентам быстро делать выводы и получать инсайты об эффективности их маркетинговых кампаний и активности конкурентов за счет анализа большого массива разрозненной информации. Эта команда носит название Data Lab и именно в нее мы ищем Data Engineer &#39;а. Обязанности: Участие в проектах в области анализа данных, машинного обучения, предиктивной аналитики и других современных направлений использования данных Проектирование, развертывание, масштабирование, оптимизация и администрирование архитектуры (кластера/кластеров) для работы с большими данными Создание и оптимизация ETL-процессов Подготовка данных для Data Science специалистов Взаимодействие с аналитиками и программистами в процессе проектирования и реализации заданий Оптимизация производительности процессов приема данных, форматов хранения Требования: Знание и умение настроить: python spark + hadoop hdfs Умение автоматизировать процессы с помощью ansible или puppet Отличное знание Unix систем Умение собирать, обрабатывать и преобразовывать данные Умение работать с любой популярной клиент серверной реляционной SQL СУБД Опыт серверной разработки на любом популярном языке программирования Опыт работы с системами контроля версий, преимущественно с Git Опыт работы с большими массивами данных Плюсом будет: Опыт работы c html/css/js Опыт работы с кластерной инфраструктурой Опыт работы с kafka Опыт работы с GCP Мы предлагаем: Начало рабочего дня подойдет как жаворонку, так и сове, т.к. наш день начинается с 9:00 до 12:00 Мы совсем рядом со ст.м. Московские ворота - 10 минут прогулочным шагом Мы готовы рассказать, показать и разделить с тобой Agile-подход в работе (есть коучи и HR`ы, которые с удовольствием всему научат) Для твоей прокачки и развития твоей команды мы всегда рады обсудить тренинги/онлайн курсы/конференции/книжки! Занятия по английскому языку проходят прямо в офисе Горячо поддерживаем твои спортивные увлечения и готовы компенсировать до 50% от стоимости абонемента (зал/танцы/скалодромы и т.п. на твой выбор) Крутые вечеринки и корпоративы!",Без требований," Участие в проектах в области анализа данных, машинного обучения, предиктивной аналитики и других современных направлений использования данных Проектирование, развертывание, масштабирование, оптимизация и администрирование архитектуры (кластера/кластеров) для работы с большими данными Создание и оптимизация ETL-процессов Подготовка данных для Data Science специалистов Взаимодействие с аналитиками и программистами в процессе проектирования и реализации заданий Оптимизация производительности процессов приема данных, форматов хранения ",Без условий,Python|SQL|hadoop|Spark|ansible|kafka,0.16666666666666666,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
81,81,big data,Новосибирск,80372.81553398058,109937.87878787877,i20,2019-10-10T20:06:41+0300,От 1 года до 3 лет,Удаленная работа,Проектная работа,"Обязанности: Разработка алгоритмов поведенческого анализа на базе результатов обработки видео изображения. Требования: Хорошая математическая подготовка (знание методов статистического анализа данных, построения математических моделей) Знание и опыт в Machine Learning, Deep Learning Знания и опыт программирования на Python, C++ Высокий уровень английского языка, позволяющий свободно читать и понимать научные статьи на английском Знания основных статистических пакетов python или R Опыт применения Data Mining для решения реальных бизнес-задач Знание методов машинного обучения Условия: Мы готовы рассмотреть варианты сотрудничества как в офисе так и удаленно позадачно"," Хорошая математическая подготовка (знание методов статистического анализа данных, построения математических моделей) Знание и опыт в Machine Learning, Deep Learning Знания и опыт программирования на Python, C++ Высокий уровень английского языка, позволяющий свободно читать и понимать научные статьи на английском Знания основных статистических пакетов python или R Опыт применения Data Mining для решения реальных бизнес-задач Знание методов машинного обучения ", Разработка алгоритмов поведенческого анализа на базе результатов обработки видео изображения. , Мы готовы рассмотреть варианты сотрудничества как в офисе так и удаленно позадачно,Геометрия|Математический анализ|Математическое моделирование|Математическая статистика|MATLAB|Статистический анализ|Аналитические исследования|SQL|Mathcad|C++|Python|Machine Learning|Deep Learning|Нейросети,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
196,196,big data,Новосибирск,80372.81553398058,109937.87878787877,Тинькофф,2019-10-08T12:48:21+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы в Tinkoff.ru занимаемся сервисами распознавания и синтеза речи. Наши модели лежат в основе голосового ассистента “Олега” и голосовых роботов, которые оптимизируют работу нашего колл-центра. Помимо этого мы планируем предоставлять наши сервисы внешним клиентам. Уже сегодня через нас распознаётся около миллиона звонков в сутки. Для расширения функционала и улучшения качества мы ищем опытных Data Scientist&#39;ов, способных самостоятельно выполнять полный цикл работ, начиная со сбора и подготовки данных и заканчивая выводом моделей в продакшн. Наш стек: DL Frameworks: TensorFlow, PyTorch, Horovod; Автоматизация процессов: TeamCity, K8S, Slurm; Hardware: кластер из Nvidia Tesla V100 для распределённого обучения. Тебе предстоит: Развивать архитектуру и алгоритмы обработки для акустической и языковой моделей распознавания речи; Ресерчить алгоритмы, которые помогут улучшить качество распознавания в шумной среде; Экспериментировать с параметрическими моделями для синтеза речи; Улучшать качество Keyword Spotting; Генерировать гипотезы, ставить эксперименты и доносить результаты; Изучать и реализовывать SOTA алгоритмы. Мы ждём от тебя: Практический опыт работы Data Scientist&#39;ом не менее 2-х лет; Уверенные знания Python; Понимание базовых структур данных и алгоритмов работы с ними; Знание принципов работы современных ML и DL алгоритмов; Хорошая математическая подготовка и знание прикладной статистики; Опыт использования DL фреймворков: Tensorflow, Pytorch, Keras; Желание самостоятельно изучать научные статьи и ставить эксперименты на их основе. Будет плюсом: Знание современного C++ (14, 17 стандарт); Опыт работы с библиотеками по распознаванию речи (Kaldi, Sphinx); Знание базовых принципов цифровой обработки сигналов (bit depth, sample rate, спектральный анализ, A-law, mu-law, dithering). Условия: Профессиональное развитие: проводим митапы, тренинги и мастер-классы; огромная tech-библиотека в твоем распоряжении; Бесплатные и вкусные перекусы: чай, кофе, печеньки и фрукты; Заботу о здоровье: полис ДМС и страховку от несчастных случаев для тебя и льготные условия страхования для близких; Компенсации в формате cash baсk: обедов и такси; Работу в комфортном офисе с современной техникой в 10 минутах пешком от м. площадь Ленина или в Технопарке Академгородка на выбор; Достойную твоего профессионального уровня зарплату, размер обсудим на собеседовании.",Без требований,Без обязанностей," Профессиональное развитие: проводим митапы, тренинги и мастер-классы; огромная tech-библиотека в твоем распоряжении; Бесплатные и вкусные перекусы: чай, кофе, печеньки и фрукты; Заботу о здоровье: полис ДМС и страховку от несчастных случаев для тебя и льготные условия страхования для близких; Компенсации в формате cash baсk: обедов и такси; Работу в комфортном офисе с современной техникой в 10 минутах пешком от м. площадь Ленина или в Технопарке Академгородка на выбор; Достойную твоего профессионального уровня зарплату, размер обсудим на собеседовании.",Python|MATLAB|Английский язык|Обучение и развитие|Виды страхования|ML|Data Scientist,0.43333333333333335,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
187,187,big data,Новосибирск,80372.81553398058,109937.87878787877,Центр финансовых технологий,2019-10-17T07:44:26+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В нашей компании активно развивается направление Machine Learning, и в Новосибирске уже работает сильная команда. Ребята делают следующие проекты для различных продуктовых линий компании: прогнозирование спроса; идентификация пользователей; выявление аномалий; распознавание голоса, изображений; рекомендации; чат-бот. Работа команды – это весомый и ценный результат для компании, а для будущего коллеги - отличная возможность для развития в BigData и Machine Learning. Интересных проектов становится все больше, Машинное отделение активно растет! Приглашаем в команду специалистов в области Data scienсе, программистов python и java (Big Data). Обязанности: подготовка данных с использованием Python; оценка качества данных, создание признаков, поиск дополнительных источников; подготовка pipeline (конвейера) для скоринга транзакций за период; работа с текстом, аудио и изображениями; разработка интеллектуальной диалоговой системы; разработка, применение, поиск, машинное обучение алгоритмов для очистки данных (поиск аномалий, корректор, подсказка, автоматизация/снижение ручной работы, поиск дубликатов и т.д.); разработка алгоритмов для повышения производительности труда валидаторов; переобучение существующих моделей; создание шаблонов решения задачи и организация кода. Требования: опыт работы с данными в проектах, желательно по статистической обработке; опыт использования Python для обработки данных; опыт работы с библиотеками pandas, numpy, sklearn, xgboost; работа в Linux, Jupyter notebook, git. Дополнительным преимуществом будет: работа с задачами машинного обучения; опыт работы с базами данных SQL. Мы предлагаем: официальное трудоустройство, полный социальный пакет; современный офис с отличной столовой, уютной кофейней, с велопарковкой и даже магазинчиком интересных корпоративных вещей; доставку корпоративным транспортом (правый/левый берег г. Новосибирска, г. Бердск, р.п. Кольцово) в наш офис в Академгородке; возможность профессионального развития: внутренние и внешние конференции и тренинги, собственная библиотека и т.д.; вдохновляющую корпоративную культуру: весёлые праздники, творческую атмосферу, живое общение во внутренней социальной сети; заботу о здоровье: программы ДМС и собственный медицинский кабинет; скидки, бонусы на различные услуги и многое другое.",Без требований," подготовка данных с использованием Python; оценка качества данных, создание признаков, поиск дополнительных источников; подготовка pipeline (конвейера) для скоринга транзакций за период; работа с текстом, аудио и изображениями; разработка интеллектуальной диалоговой системы; разработка, применение, поиск, машинное обучение алгоритмов для очистки данных (поиск аномалий, корректор, подсказка, автоматизация/снижение ручной работы, поиск дубликатов и т.д.); разработка алгоритмов для повышения производительности труда валидаторов; переобучение существующих моделей; создание шаблонов решения задачи и организация кода. ",Без условий,Python|Linux|Jupyter notebook|Git|Анализ данных,0.13333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
118,118,big data,Новосибирск,80372.81553398058,109937.87878787877,Grid Dynamics,2019-10-11T11:30:25+0300,От 3 до 6 лет,Полный день,Полная занятость,"Big Data Engineer (with a long-term business trip to the USA) Description Our customer is one of the world&#39;s largest technology companies based in Silicon Valley with operations all over the world. On this project, we are working with bleeding-edge big data technologies to develop a high-performance data analytics platform, which handles petabytes of data. We are looking for an enthusiastic and technology-proficient Big Data Developer, who is eager to participate in the design and implementation of a top-notch big data solution that will be deployed at a massive scale. Responsibilities: Participate in the design and development of a big data analytics application Design, support and continuously enhance the project code base, continuous integration pipeline, etc. Write complex ETL processes and frameworks for analytics and data management Implement large-scale near real-time streaming data processing pipelines Work with a team of industry experts on cutting-edge big data technologies to develop solutions for deployment at massive scale Requirements: Strong knowledge of Scala In-depth knowledge of Hadoop and Spark, experience with data mining and stream processing technologies (Kafka, Spark Streaming, Akka Streams) Understanding of the best practices in data quality and quality engineering Experience with version control systems, Git in particular ability to quickly learn new tools and technologies Will be a plus: Knowledge of Unix-based operating systems (bash/ssh/ps/grep etc.) Experience with Github-based development processes Experience with JVM build systems (SBT, Maven, Gradle) We offer: Opportunity to work on bleeding-edge projects Work with a highly motivated and dedicated team Competitive salary Flexible schedule Benefits program Social package - medical insurance, sports Corporate social events Professional development opportunities Opportunity for long business trips to the US and possibility for relocation About us: Grid Dynamics is the engineering services company known for transformative, mission-critical cloud solutions for retail, finance and technology sectors. We architected some of the busiest e-commerce services on the Internet and have never had an outage during the peak season. Founded in 2006 and headquartered in San Ramon, California with offices throughout the US and Eastern Europe, we focus on big data analytics, scalable omnichannel services, DevOps, and cloud enablement.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
952,952,big data,Екатеринбург,150000.0,250000.0,Сбербанк,2019-09-24T10:37:20+0300,Нет опыта,Полный день,Полная занятость,"Главное о Сбербанке: Сотни тысяч наших сотрудников одновременно создают тот эффект, который ощущает почти каждый взрослый житель России, открывая приложение или заходя в отделение банка. Масштабы компании и система поддержки сотрудников открывают возможности для карьеры в любом направлении и с любым уровнем амбиций. Наша новая цель — создать вокруг клиентов дружелюбную и надежную платформу сервисов, открывающую новый опыт потребления финансовых (и не только) услуг. У нас огромные возможности, большое желание меняться. Мы готовы принять талантливых и энергичных коллег для воплощения всех наших планов. Вам предстоит: Заниматься постановкой задач анализа данных; Принимать активное участие в разработке предсказательных моделей; Аналиировать даннын, проверять гипотезы; Заниматься экспертной поддержкой и менторством над Data Science командой. Команда ожидает, что вы: Имеете высшее образование (предпочтительные направления математика, экономика, информатика); Обладаете уверенными знаниями Python или R, базового стека библиотек анализа данных и ML; Ранее занимались моделеми машинного обучения и ввода в эксплуатацию от 1 года; Отлично знаете SQL в любой из промышленных СУБД; У вас есть знания в теории вероятности, математической статистики. Мы предлагаем: Условия работы: бессрочный трудовой договор, офис в центре города, гибкий график работы пн-пт, отсутствие строгого дресс-кода; Уровень заработной платы , который зависит от ваших технических знаний и навыков, состоит из оклада и годового премирования; Заботу о здоровье: корпоративную программу ДМС (включает стоматологию, обследования, лечение заболеваний и т.д.), бесплатный тренажерный зал, страхование жизни, посещение корпоративного санатория в Крыму одному или с семьей; Знания: индивидуальный план обучения с учебными курсами и поездками на конференции за счет работодателя, а еще у Вас будет возможность попробовать себя в роли спикера или ментора; Корпоративные мероприятия: Новый год, командные выезды, участие в интеллектуальных играх. Еще мы помним о Ваших детях и дарим подарки на новый год; Особые условия для сотрудников: льготные условия кредитования, специальные курсы обмена валюты, дисконт-программы от партнеров банка. Если вам нравится идея превратить «главный» банк России в передовую сервисную экосистему, будем рады увидеть вас в команде !",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
858,858,big data,Екатеринбург,150000.0,250000.0,Сбербанк,2019-10-08T17:21:21+0300,Нет опыта,Полный день,Полная занятость,"Главное о Сбербанке: Сотни тысяч наших сотрудников одновременно создают тот эффект, который ощущает почти каждый взрослый житель России, открывая приложение или заходя в отделение банка. Масштабы компании и система поддержки сотрудников открывают возможности для карьеры в любом направлении и с любым уровнем амбиций. Наша новая цель — создать вокруг клиентов дружелюбную и надежную платформу сервисов, открывающую новый опыт потребления финансовых (и не только) услуг. У нас огромные возможности, большое желание меняться. Мы готовы принять талантливых и энергичных коллег для воплощения всех наших планов. Вам предстоит: Осуществлять имплементацию функциональных модулей курируемой АС Осуществлять проектирование, разработку и оценку архитектурных решений и их составляющих Заниматься подготовкой архитектурной документации. Осуществлять декомпозицию, оценку задач бэклога и их реализацию. Участвует в приоритизации задач, а также в процессах оптимизации разработки Осуществлять внедрение и контроль качества производственных процессов (App) и IT RUN курируемых АС Выполнять поиск узких мест процесса при выполнении ретроспектив, обеспечивает улучшение процесса и управляет рисками Проводить работу со сложными дефектами и инцидентами для устранения технологических проблем в курируемых АС Проводить анализ эксплуатационных характеристик модулей курируемых АС, подготавливает рекомендации и предложения по их улучшению Команда ожидает, что у вас: Знание принципов разработки, тестирования, сопровождения ПО; Понимание основных методов разработки Waterfall/Agile; Понимание архитектуры комплекса технических средств и современные тенденции их развития; Понимание бизнес процессов по тематике сопровождаемых АС подразделения; Английский язык в сфере ИТ (чтение технической документации); Навыки управления командой, систематизации информации. Хорошие коммуникативные навыки. Мы предлагаем: Условия работы: бессрочный трудовой договор, офис в центре города, график работы 5/2, отсутствие строгого дресс-кода; Уровень заработной платы, который зависит от ваших технических знаний и навыков, состоит из оклада и годового премирования; Заботу о здоровье: корпоративную программу ДМС (включает стоматологию, обследования, лечение заболеваний и т.д.), бесплатный тренажерный зал, страхование жизни, посещение корпоративного санатория в Крыму одному или с семьей; Знания: индивидуальный план обучения с учебными курсами и поездками на конференции за счет работодателя, а еще у Вас будет возможность попробовать себя в роли спикера или ментора; Корпоративные мероприятия: Новый год, командные выезды, участие в интеллектуальных играх. Еще мы помним о Ваших детях и дарим подарки на новый год; Особые условия для сотрудников: льготные условия кредитования, специальные курсы обмена валюты, дисконт-программы от партнеров банка. Если вам нравится идея превратить «главный» банк России в передовую сервисную экосистему, будем рады увидеть вас в команде!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.43333333333333335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
983,983,big data,Екатеринбург,150000.0,250000.0,Сбербанк,2019-09-24T10:37:20+0300,Нет опыта,Полный день,Полная занятость,"Главное о Сбербанке: Сотни тысяч наших сотрудников одновременно создают тот эффект, который ощущает почти каждый взрослый житель России, открывая приложение или заходя в отделение банка. Масштабы компании и система поддержки сотрудников открывают возможности для карьеры в любом направлении и с любым уровнем амбиций. Наша новая цель — создать вокруг клиентов дружелюбную и надежную платформу сервисов, открывающую новый опыт потребления финансовых (и не только) услуг. У нас огромные возможности, большое желание меняться. Мы готовы принять талантливых и энергичных коллег для воплощения всех наших планов. В сектор аналитики и отчетности Регионального центра дистанционного взыскания ПАО Сбербанк требуется специалист Data Science. Вам предстоит: Участие в разработке предсказательных моделей; Анализировать данные, проверять гипотезы. Команда ожидает, что вы: Образование высшее, предпочтительные направления математика, экономика, информатика; Имеете опыт работы с Python или R, библиотеками pandas, sklearn, xgboost; Понимаете базовые алгоритмы ML; Обладаете опытом написания запросов SQL в любой из промышленных СУБД; Владеете знаниями в теории вероятности, математической статистики. Мы предлагаем: Условия работы: бессрочный трудовой договор, офис в центре города, гибкий график работы пн-пт, отсутствие строгого дресс-кода; Уровень заработной платы , который зависит от ваших технических знаний и навыков, состоит из оклада и годового премирования; Заботу о здоровье: корпоративную программу ДМС (включает стоматологию, обследования, лечение заболеваний и т.д.), бесплатный тренажерный зал, страхование жизни, посещение корпоративного санатория в Крыму одному или с семьей; Знания: индивидуальный план обучения с учебными курсами и поездками на конференции за счет работодателя, а еще у Вас будет возможность попробовать себя в роли спикера или ментора; Корпоративные мероприятия: Новый год, командные выезды, участие в интеллектуальных играх. Еще мы помним о Ваших детях и дарим подарки на новый год; Особые условия для сотрудников: льготные условия кредитования, специальные курсы обмена валюты, дисконт-программы от партнеров банка. Если вам нравится идея превратить «главный» банк России в передовую сервисную экосистему, будем рады увидеть вас в команде!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
808,808,big data,Екатеринбург,150000.0,250000.0,ANCOR FinTech,2019-10-03T15:15:22+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Крупный коммерческий федеральный банк формирует рабочее место Data Scientist в г. Екатеринбург Обязанности: моделирование кредитных рисков (EAD, LGD, PD и др.) аналитика, разработка и оптимизация стратегии принятия решений по кредитному портфелю Требования: математическое , экономико-математическое образование знание теорий вероятностей и математической статистики; опыт аналитической работы от 2-х лет; опыт разработки статистических моделей.",Без требований," моделирование кредитных рисков (EAD, LGD, PD и др.) аналитика, разработка и оптимизация стратегии принятия решений по кредитному портфелю ",Без условий,Статистический анализ|Управление рисками|Математическая статистика|Machine learning|ИНС,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
